Part1,Part2,Part3,Part4,Part5,Time
300.0,300.0,300.0,300.0,300.0,0.0
280.21713546084396,245.47448315072728,237.9523200336205,273.33567964953806,248.64671824382796,10.050251256281408
258.5739929372328,217.43639762011662,212.32756787822095,245.12385602648055,227.14560854687085,20.100502512562816
239.50772441450766,200.68963262839625,196.4016323623959,224.37283167167547,211.36355471194435,30.150753768844226
223.3177349582328,188.76719875492884,185.10014910137772,208.70422955118832,198.8340183845902,40.20100502512563
209.77022998456366,179.67731502576436,176.25853177831394,196.39463924804824,188.59251979512695,50.25125628140704
198.35717410155945,171.94568405997148,169.21064838724777,186.39979994860096,180.0374111787654,60.30150753768845
188.60778041639733,165.68217710323154,163.07728513006694,178.0801950138547,172.7582893281191,70.35175879396985
180.3313286030367,159.97966531856886,157.92036171558124,171.00599763357448,166.46993985764394,80.40201005025126
173.08418817099903,155.1317686082876,153.27137552114732,164.8952520360878,160.96520430920415,90.45226130653268
166.8076119914182,150.77211811623695,149.13590600240317,159.54185919184357,156.09283536965515,100.50251256281408
161.28633496634845,146.5422111292776,145.58500652056318,154.79487045236135,151.73942237627912,110.55276381909549
156.3178694502539,143.24722456441359,142.04258758934535,150.55448557817627,147.81541662233764,120.6030150753769
151.963272602431,139.87493102516314,139.0121076150249,146.7249282361192,144.2550041703425,130.6532663316583
147.95309547200497,137.0312992150457,136.08201425290753,143.24871315456238,141.0026720675668,140.7035175879397
144.37175498236672,134.40314428476918,133.37440220687998,140.07060833545117,138.01582355297865,150.75376884422113
141.10592581502783,131.87139675971716,130.9229497270355,137.1480478204173,135.25947182160255,160.80402010050253
138.0671499243434,129.6662864791772,128.5513424198296,134.45040588454594,132.70412136047526,170.85427135678393
135.35584707992206,127.36291816583396,126.47795211201168,131.94486331840952,130.32671029656495,180.90452261306535
132.76458119494427,125.37428640415236,124.44140186681663,129.61368616102303,128.10607007274268,190.95477386934675
130.4314768652157,123.13664974137836,122.73443587400817,127.43079483922966,126.02653970139278,201.00502512562815
128.22995025316575,121.4742978835333,120.88136427768694,125.38975190303722,124.07150469999682,211.05527638190958
126.14510089421898,119.65261919072202,119.27039410915974,123.46808053629137,122.23035360866614,221.10552763819098
124.25568362731093,118.11965401953125,117.64225450244217,121.65894515134636,120.49114035299296,231.15577889447238
122.40453524870254,116.62341245685397,116.12426676231702,119.94929807305746,118.8451439191837,241.2060301507538
120.70750155531464,115.32002918745414,114.61313433894189,118.33183872208811,117.28377629401787,251.2562814070352
119.10837239463714,113.87031336029014,113.2992574748594,116.79470505029653,115.80064059855651,261.3065326633166
117.54430232438187,112.67799523143859,111.93618518919637,115.33592132558962,114.38841890818037,271.356783919598
116.14808588543393,111.27864791933054,110.78526277521519,113.9436150994196,113.04256858758721,281.4070351758794
114.73539013208922,110.09673323741114,109.59853010240062,112.61766564254272,111.75703268583693,291.45728643216086
113.45084585721344,108.81959966376182,108.54137476381443,111.34934777584533,110.52808939991334,301.50753768844226
112.21261250006113,107.72900408081506,107.45859432284145,110.13770567423164,109.35096659860025,311.55778894472365
110.987209976343,106.70927621328896,106.40002282247403,108.97761327080623,108.2223607728327,321.60804020100505
109.8889912761785,105.74477911047211,105.37730917982539,107.86513650335654,107.13897467191978,331.65829145728645
108.75716569249053,104.84743077199242,104.37770146965312,106.7975040154313,106.09782314148379,341.70854271356785
107.72773286604797,103.92281298261886,103.44601764546552,105.77054873684389,105.09643472474669,351.75879396984925
106.73591370706446,102.9687255057076,102.58902933252675,104.78164922253809,104.13230997585977,361.8090452261307
105.73706131596339,102.12019865040853,101.71749873379028,103.83016894646839,103.20290657535845,371.8592964824121
104.86079809585021,101.0989019197275,100.992246680396,102.91037195369601,102.30679923711659,381.9095477386935
103.92918675888626,100.28925583250772,100.19296105307677,102.02509400235931,101.44116255164789,391.9597989949749
103.07997029959701,99.58194538348941,99.37387788216293,101.17103151207286,100.60452588459778,402.0100502512563
102.25187532113712,98.94060051314725,98.56241850375815,100.34607870130925,99.79533342520219,412.0603015075377
101.41594009675829,98.19449352290827,97.84206044930626,99.54679274010456,99.01257219412463,422.11055276381916
